"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038704,"Telemidae","Usofila","USA","California","Marin","6 mi E Point Reyes Sta","1/3/1960","Grigarick, Smith, Schuster"
9038705,"Telemidae","Usofila","USA","California","Marin","Novato, San Marin Dr.","14/3/1982","D Ubick"
9038706,"Telemidae","Usofila","USA","California","Marin","Black Point","24/3/1960","RO Schuster"
9038707,"Telemidae","Usofila","USA","California","Marin","Ross Bald Hill","01/3/1991","D Ubick, T Briggs"
9038708,"Telemidae","Usofila","USA","California","Marin","Taylor St. Pk.","8/11/1953","V Roth, R Schuster"
9038709,"Telemidae","Usofila","USA","California","Marin","Novato, San Marin Dr.","7/3/1982","D Ubick"
9038710,"Telemidae","Usofila","USA","California","Marin","Ring Mountain","14/11/1987","TS Briggs"
9038711,"Telemidae","Usofila","USA","California","Marin","SE slope Burdell Mtn, Buck Property (site 3)","08/3/1991","D Ubick"
9038712,"Telemidae","Usofila","USA","California","Marin","Novato, San Marin Dr.","02/1/1986","D Ubick"
9038713,"Telemidae","Usofila","USA","California","Marin","San Geronimo","15/1/1994","D Ubick, J Boutin"
9038714,"Telemidae","Usofila","USA","California","Marin","Novato: San Marin Dr.","23/2/1986","D Ubick"
9038715,"Telemidae","Usofila","USA","California","Marin","SE slope Burdell Mtn, Buck Property (site 1)","08/3/1991","D Ubick"
9038716,"Telemidae","Usofila","USA","California","Marin","Novato: San Marin Dr. & Hwy. 101","7/3/1982","D Ubick"
9038717,"Telemidae","Usofila","USA","California","Marin","San Geronimo","30/1/1994","D Ubick"
9038718,"Telemidae","Usofila","USA","California","Marin","Novato: San Marin Dr. & Hwy. 101","25/4/1982","D Ubick"
9038719,"Telemidae","Usofila","USA","California","Marin","South Tiburon: Marinero Ests","12/3/1994","J Boutin"
9038720,"Telemidae","Usofila","USA","California","Marin","South Tiburon: Marinero Ests","19/3/1994","D Ubick, J Boutin"
9038721,"Telemidae","Usofila","USA","California","Marin","South Tiburon Ridge: Marinero Estates","27/2/1993","D Ubick, J Boutin, C Kellner"
9038722,"Telemidae","Usofila","USA","California","Marin","Novato, San Marin Dr.","07/12/1985","D Ubick"
9038723,"Telemidae","Usofila","USA","California","Marin","Novato: SE slope Burdell Mtn","16/3/1990","D Ubick, R Brig"
