Accession,Latitude,Longitude
9038521,37.87,-122.24
9038522,37.73,-122.07
9038523,37.6,-121.95
9038524,37.8,-122.16
9038525,37.8,-122.16
9038526,37.8,-122.16
9038527,37.8,-122.16
90386281,37.82,-122.2
9038529,37.82,-122.2
90387441,37.86,-122.24
9038779,37.87,-122.25
9038780,37.6,-121.95
9038530,38.45,-120.64
9038531,38.45,-120.64
9038532,38.45,-120.63
9038533,38.29,-120.84
9038534,38.29,-120.84
9038535,38.45,-120.63
9038536,38.44,-120.72
9038537,38.45,-120.64
9038509,39.7,-121.55
9038679,38.09,-120.42
9038725,38.07,-120.4
9038726,38.45,-120.63
9038727,38.19,-120.5
9038728,38.19,-120.5
9038730,38.19,-120.5
9038732,38.04,-120.46
9038733,38.2,-120.5
9038734,38.16,-120.47
9038735,38.05,-120.48
9038736,38.2,-120.5
9038737,38.16,-120.47
9038738,38.02,-120.48
9038739,38.04,-120.46
9038740,38.16,-120.47
9038741,38.15,-120.48
9038742,38.08,-120.46
9038743,38.16,-120.47
9038744,38.03,-120.46
9038745,38.16,-120.47
9038747,38.07,-120.47
9038749,38.2,-120.5
9038750,38.19,-120.5
9038751,38.07,-120.41
9038752,38.2,-120.5
9038753,38.03,-120.47
9038754,38.16,-120.47
9038755,38.04,-120.42
9038756,38.05,-120.48
9038758,38.16,-120.47
9038759,38.07,-120.47
9038760,38.2,-120.5
9038763,38.16,-120.47
9038764,38.2,-120.5
9038765,38.2,-120.5
9038766,38.2,-120.5
9038767,38.16,-120.47
9038557,37.88,-121.96
9038558,37.88,-121.96
9038559,37.88,-121.96
9038560,37.88,-122.23
9038561,37.88,-122.23
9038562,37.8,-122.15
9038775,37.92,-122.34
9038519,41.26,-124.04
9038520,41.26,-124.04
9038784,41.8,-124.08
9038563,38.89,-120.82
9038564,38.81,-121.08
9038565,38.81,-121.08
9038566,38.81,-121.08
9038568,38.77,-120.29
9038569,38.58,-120.84
9038570,38.58,-120.84
9038571,38.77,-120.45
9038572,38.77,-120.37
9038573,41.26,-124.04
9038574,41.26,-124.04
9038575,41.29,-124.06
9038576,40.88,-123.72
9038577,40.54,-124.06
9038578,40.54,-124.04
9038579,41.16,-124.13
9038580,41.02,-123.64
9038769,40.45,-124.1
9038773,40.93,-123.68
9038542,35.73,-118.35
9038704,38.07,-122.7
9038705,38.13,-122.57
9038706,38.11,-122.51
9038707,37.97,-122.58
9038708,38.02,-122.72
9038709,38.13,-122.57
9038710,37.91,-122.49
9038711,38.13,-122.57
9038712,38.13,-122.57
9038713,38.01,-122.65
9038714,38.13,-122.57
9038715,38.13,-122.57
9038716,38.12,-122.57
9038717,38.01,-122.65
9038718,38.12,-122.57
9038719,37.89,-122.46
9038720,37.89,-122.46
9038721,37.88,-122.45
9038722,38.13,-122.57
9038723,38.13,-122.57
9038581,37.71,-120
9038582,37.79,-119.85
9038583,37.48,-119.96
9038584,37.49,-119.98
9038585,37.48,-119.96
9038586,39.43,-123.77
9038587,39.43,-123.77
9038588,39.43,-123.77
9038589,39.84,-123.52
9038590,39.34,-123.81
9038591,39.34,-123.81
9038592,39.41,-123.77
9038593,39.28,-123.5
9038594,39.28,-123.78
9038595,39.31,-123.8
9038596,39.31,-123.8
9038597,39.31,-123.8
9038598,39.28,-123.78
9038599,39.48,-123.79
9038600,39.31,-123.8
9038778,39.43,-123.53
9038781,36.06,-121.59
9038601,36.05,-121.56
9038602,38.5,-122.47
9038603,38.5,-122.47
9038604,38.43,-122.21
9038605,38.51,-122.21
9038606,38.43,-122.21
9039607,38.43,-122.21
9038608,38.44,-122.54
9038609,38.45,-122.21
9038610,38.54,-122.49
9038611,38.43,-122.21
9038612,44.51,-123.41
9038613,38.62,-122.58
9038614,38.41,-122.2
9038615,38.36,-122.17
9038616,38.41,-122.2
9038618,38.54,-122.51
9038619,38.41,-122.2
9038620,38.56,-122.47
9038621,38.5,-122.47
9038622,38.41,-122.2
9038623,38.54,-122.47
9038500,38.88,-121.21
9038501,38.88,-121.21
9038502,38.88,-121.21
9038503,38.88,-121.21
9038504,38.88,-121.21
9038505,38.88,-121.21
9038506,38.88,-121.21
9038507,38.88,-121.21
9038515,39.83,-120.82
9038517,39.37,-120.35
9038518,35.41,-115.49
9038511,37.77,-122.5
9038553,37.3,-122.27
9038554,37.29,-122.24
9038555,37.45,-122.34
9038556,37.5,-122.45
9038770,37.26,-122.4
9038782,34.67,-120.42
9038785,37.42,-122.31
9038624,37.17,-121.31
9038625,37.17,-121.49
9038626,37.17,-121.31
9038627,37.22,-121.79
9038628,38.63,-122.58
9038629,37.42,-122.07
9038724,37.22,-121.79
9038776,37.27,-121.71
9038543,37.2,-122.06
9038544,37.17,-122.22
9038545,37.13,-122.13
9038546,36.99,-122.07
9034549,36.99,-122.07
9038550,36.99,-122.07
9034551,37.06,-122.13
9034552,36.99,-122.07
9038682,40.92,-122.23
9038683,41.12,-122.27
9038685,40.92,-122.23
9038686,40.78,-122.28
9038687,40.92,-122.23
9038688,40.69,-121.41
9038689,40.92,-122.23
9038690,40.92,-122.23
9038692,40.69,-121.41
9038693,40.92,-122.23
9038695,40.92,-122.23
9038696,41.12,-122.27
9038697,40.92,-122.23
9038698,40.92,-122.23
9038700,40.78,-122.28
9038701,40.92,-122.23
9038702,40.69,-121.41
9038703,40.91,-122.09
9038771,40.78,-122.28
9038777,40.88,-122.24
9038783,40.92,-122.23
9038538,39.58,-120.6
9038512,41.36,-123.46
9038513,41.52,-122.59
9038630,38.33,-122.57
9038631,38.62,-122.82
9038632,38.3,-122.56
9038633,38.31,-122.54
9038634,38.55,-122.72
9038636,38.55,-122.73
9038637,38.55,-122.72
9038638,38.55,-122.72
9038639,38.56,-122.64
9038640,38.36,-122.59
9038541,38.21,-122.18
9038793,38.27,-122.59
9038539,37.45,-121.33
9038540,37.2,-121.45
9038510,40.35,-121.67
9038641,40.51,-123.31
9038642,40.51,-123.31
9038643,40.66,-123.5
9038644,40.51,-123.31
9038645,40.38,-123.33
9038646,40.65,-122.73
9038915,36.35,-118.76
9038647,36.35,-118.77
9038648,36.35,-118.77
9038649,36.35,-118.77
9038650,36.35,-118.77
9038651,36.35,-118.77
9038652,36.49,-118.82
9038654,36.49,-118.82
9038656,36.35,-118.77
9038657,36.35,-118.77
9038658,36.35,-118.77
9038659,36.35,-118.77
9038660,36.35,-118.77
9038661,36.35,-118.77
9038662,36.35,-118.77
9038663,36.49,-118.82
9039487,36.49,-118.82
9039488,36.49,-118.82
9039489,36.49,-118.82
9038655,38.13,-120.38
9038664,38.13,-120.38
9038665,37.41,-121.41
9038666,38.07,-120.42
9038667,38.05,-120.39
9038668,38.05,-120.39
9038670,38.07,-120.42
9038672,38.08,-120.4
9038673,38.05,-120.37
9038674,38.07,-120.42
9038675,38.06,-120.43
9038676,38.08,-120.4
9038677,38.05,-120.39
9038678,38.05,-120.39
9038680,38.08,-120.4
9038681,38.07,-120.42
9038731,38.07,-120.42
9038999,38.07,-120.42
9038508,38.93,-122.24
