"Code","Description_En","Description_Es","Description_Fr","Identifier","Multiplier","Name_En","Name_Es","Name_Fr","SWS_Unit","Short_Name","Unit"
"Q_t_1","Observed measure unit (Tonnes)","Unidad de la medida observada (Toneladas)","Unité de la mesure observée (Tonnes)","1","1","Tonnes","Toneladas","Tonnes","FI_001","Tonnes","t"
"V_USD_1000","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","2","1000","Value (USD 1000)","Valor (1000 USD)","Valeur (1000 USD)","FI_003","USD (1000)","USD"
"Q_no_1","Observed measure unit (number)","Unidad de la medida observada (número)","Unité de la mesure observée (nombre)","3","1","Number","Número","Nombre","FI_002","Number","no"
"E_h_1","","","","4","1","Effort (hours)","Esfuerzo (horas)","Effort (heures)","","Effort (hrs)","h"
"Q_kg_1","","","","5","1","Quantity (kilograms)","Cantidad (kilogramos)","Quantité (kilogrammes)","","Quantity (kg)","kg"
"L_m_1","","","","6","1","Length (meters)","Eslora (metros)","Longeur (mètres)","","Length (m)","m"
"Q_no_1000","Observed measure unit (Thousands)","Unidad de la medida observada (Miles)","Unité de la mesure observée (Milliers)","7","1000","Number (Thousand)","Número (Mil)","Nombre (Mille)","","Number (1000)","no"
"Q_kw_1","","","","8","1","Kilowatt","Kilovatio","Kilowatt","","Quantity (kW)","kw"
"Q_tlw","Observed measure unit (Tonnes - live weight)","Unidad de la medida observada (Toneladas - peso vivo)","Unité de la mesure observée (Tonnes - poids vif)","9","1","Tonnes - live weight","Toneladas - peso vivo","Tonnes - poids vif","FI_001","TLW","t"
"Q_tpw","","","","10","1","Tonnes – net product weight","Toneladas – peso producto neto","Tonnes – poids produit net","FI_001","TPW","t"
"V_LCU","Monetary unit in local currency","Unidad monetaria en moneda local","Unité monétaire en monnaie locale","99","1","Local currency unit","Unidad de moneda local","Unité monétaire locale","FI_004","Local Currency","LCU"
